x,y,z,h,lon,lat,keep
-437.9,-729.3,854.134252996502,2.0,-97.50503238924648,38.493440110232314,1
-437.7,-729.3,854.4007589895059,2.0,-97.5050300908271,38.49344011033065,1
-437.5,-729.3,854.66726498251,2.0,-97.50502779240773,38.49344011042895,1
-437.3,-729.3,854.9337709755141,2.0,-97.50502549398833,38.49344011052719,1
-437.1,-729.3,855.200276968518,2.0,-97.50502319556895,38.49344011062538,1
-436.9,-729.3,855.4667829615221,2.0,-97.50502089714958,38.49344011072357,1
-436.7,-729.3,855.7332889545262,2.0,-97.50501859873019,38.49344011082166,1
-436.5,-729.3,855.9997949475301,2.0,-97.50501630031081,38.49344011091972,1
-436.3,-729.3,856.0364333333334,2.0,-97.50501400189142,38.493440111017755,0
-436.1,-729.3,855.732366666667,2.0,-97.50501170347205,38.493440111115746,0
-435.9,-729.3,855.4283,2.0,-97.50500940505268,38.49344011121368,0
-435.7,-729.3,855.1242333333334,2.0,-97.50500710663329,38.493440111311564,0
-435.5,-729.3,854.8201666666668,2.0,-97.5050048082139,38.49344011140937,0
-435.3,-729.3,854.5161000000003,2.0,-97.50500250979452,38.493440111507205,0
-435.1,-729.3,854.2120333333334,2.0,-97.50500021137513,38.49344011160494,0
-434.9,-729.3,853.9079666666667,2.0,-97.50499791295576,38.49344011170265,0
-434.7,-729.3,853.6039000000001,2.0,-97.50499561453637,38.493440111800325,0
-434.5,-729.3,853.2998333333334,2.0,-97.504993316117,38.49344011189793,0
-434.3,-729.3,852.9957666666668,2.0,-97.50499101769762,38.49344011199551,0
-434.1,-729.3,852.6917000000001,2.0,-97.50498871927822,38.49344011209304,0
-433.9,-729.3,852.3876333333335,2.0,-97.50498642085884,38.49344011219051,0
-433.7,-729.3,852.0835666666667,2.0,-97.50498412243947,38.49344011228794,0
-433.5,-729.3,851.7795000000001,2.0,-97.50498182402008,38.49344011238534,0
-433.3,-729.3,851.4754333333334,2.0,-97.5049795256007,38.493440112482695,0
-433.1,-729.3,851.1713666666668,2.0,-97.50497722718133,38.49344011258,0
-432.9,-729.3,850.8673000000001,2.0,-97.50497492876194,38.49344011267727,0
-432.7,-729.3,850.5632333333334,2.0,-97.50497263034256,38.493440112774465,0
-432.5,-729.3,850.2591666666667,2.0,-97.50497033192316,38.49344011287164,0
-432.3,-729.3,849.9551,2.0,-97.50496803350379,38.493440112968756,0
-432.1,-729.3,849.6510333333334,2.0,-97.50496573508441,38.49344011306583,0
-431.9,-729.3,849.3491238263514,2.0,-97.50496343666502,38.493440113162876,0
-431.7,-729.3,849.0515290797066,2.0,-97.50496113824565,38.493440113259844,0
-431.5,-729.3,848.7539343330616,2.0,-97.50495883982627,38.49344011335681,0
-431.3,-729.3,848.4563395864166,2.0,-97.50495654140688,38.4934401134537,0
-431.1,-729.3,848.1587448397718,2.0,-97.50495424298751,38.49344011355057,0
-440.7,-729.1,851.1806333333332,2.0,-97.5050645672443,38.49344190777645,0
-440.5,-729.1,851.2888333333331,2.0,-97.50506226882486,38.49344190787543,0
-440.3,-729.1,851.3970333333332,2.0,-97.50505997040543,38.49344190797436,0
-440.1,-729.1,851.5052333333331,2.0,-97.505057671986,38.49344190807324,0
-439.9,-729.1,851.6134333333331,2.0,-97.50505537356655,38.49344190817206,0
-439.7,-729.1,851.7216333333331,2.0,-97.5050530751471,38.49344190827084,0
-439.5,-729.1,851.8298333333332,2.0,-97.50505077672767,38.49344190836956,0
-439.3,-729.1,851.9380333333331,2.0,-97.50504847830823,38.49344190846826,0
-439.1,-729.1,852.0462333333331,2.0,-97.5050461798888,38.49344190856691,0
-438.9,-729.1,852.1544333333331,2.0,-97.50504388146935,38.49344190866553,1
-438.7,-729.1,852.262633333333,2.0,-97.5050415830499,38.493441908764076,1
-438.5,-729.1,852.4651470177596,2.0,-97.50503928463047,38.4934419088626,1
-438.3,-729.1,852.7778882106556,2.0,-97.50503698621102,38.49344190896107,1
-438.1,-729.1,853.0906294035519,2.0,-97.50503468779159,38.49344190905949,1
-437.9,-729.1,853.4083558606328,2.0,-97.50503238937216,38.49344190915788,1
-437.7,-729.1,853.7310675818983,2.0,-97.50503009095272,38.49344190925623,1
-437.5,-729.1,854.0537793031638,2.0,-97.50502779253328,38.493441909354516,1
-437.3,-729.1,854.3764910244292,2.0,-97.50502549411384,38.493441909452756,1
-437.1,-729.1,854.6992027456946,2.0,-97.50502319569439,38.493441909550974,1
-436.9,-729.1,855.0219144669601,2.0,-97.50502089727496,38.493441909649114,1
-436.7,-729.1,855.3446261882256,2.0,-97.50501859885551,38.493441909747226,1
-436.5,-729.1,855.6673379094909,2.0,-97.50501630043607,38.493441909845316,1
-436.3,-729.1,855.7452555555556,2.0,-97.50501400201664,38.4934419099433,1
-436.1,-729.1,855.4603444444446,2.0,-97.5050117035972,38.49344191004131,1
-435.9,-729.1,855.1754333333334,2.0,-97.50500940517776,38.493441910139225,1
-435.7,-729.1,854.8905222222222,2.0,-97.50500710675833,38.49344191023711,1
-435.5,-729.1,854.6056111111111,2.0,-97.50500480833888,38.493441910334965,0
-435.3,-729.1,854.3207000000002,2.0,-97.50500250991945,38.49344191043275,0
-435.1,-729.1,854.0357888888889,2.0,-97.5050002115,38.49344191053051,0
-434.9,-729.1,853.7508777777778,2.0,-97.50499791308056,38.49344191062821,0
-434.7,-729.1,853.4659666666666,2.0,-97.50499561466113,38.49344191072589,0
